Año,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
2014,Buenos Aires,56.18,37.66,4.35,0.64,1.17
2014,Capital Federal,34.21,63.18,1.34,0.15,1.12
2014,Catamarca,98.97,0.78,0.07,0.0,0.18
2014,Chaco,83.97,15.89,0.05,0.0,0.09
2014,Chubut,71.8,0.92,1.26,16.47,9.56
2014,Corrientes,83.77,14.02,0.05,2.06,0.1
2014,Córdoba,58.63,40.58,0.07,0.66,0.07
2014,Entre Ríos,80.0,16.18,0.04,3.66,0.12
2014,Formosa,81.36,18.33,0.0,0.0,0.31
2014,Jujuy,87.99,11.83,0.07,0.08,0.03
2014,La Pampa,27.82,57.54,0.9,12.56,1.18
2014,La Rioja,99.69,0.0,0.09,0.0,0.22
2014,Mendoza,89.51,7.63,1.49,0.02,1.34
2014,Misiones,76.0,23.83,0.01,0.15,0.01
2014,Neuquén,51.98,31.72,1.05,12.05,3.19
2014,Río Negro,67.88,25.81,0.92,3.79,1.6
2014,Salta,80.19,19.11,0.05,0.04,0.62
2014,San Juan,93.43,0.86,1.41,2.1,2.2
2014,San Luis,87.51,6.18,2.74,0.18,3.39
2014,Santa Cruz,69.31,1.41,1.45,15.96,11.87
2014,Santa Fe,63.19,34.77,0.66,1.2,0.18
2014,Santiago Del Estero,87.05,10.5,0.05,2.31,0.1
2014,Tierra Del Fuego,76.32,11.38,2.28,0.0,10.02
2014,Tucumán,99.76,0.07,0.09,0.01,0.08
2015,Buenos Aires,54.47,39.93,4.01,0.67,0.92
2015,Capital Federal,33.54,63.66,1.66,0.16,0.98
2015,Catamarca,98.87,0.93,0.06,0.0,0.14
2015,Chaco,66.39,33.29,0.21,0.05,0.05
2015,Chubut,69.17,1.2,1.42,20.46,7.74
2015,Corrientes,66.03,32.13,0.19,1.59,0.06
2015,Córdoba,56.9,42.08,0.11,0.85,0.07
2015,Entre Ríos,66.5,29.69,0.07,3.62,0.12
2015,Formosa,77.95,18.88,0.01,3.04,0.12
2015,Jujuy,84.01,15.84,0.06,0.0,0.09
2015,La Pampa,19.88,63.8,5.93,9.57,0.81
2015,La Rioja,99.72,0.0,0.1,0.01,0.18
2015,Mendoza,89.7,7.64,1.5,0.02,1.14
2015,Misiones,66.35,33.59,0.04,0.01,0.02
2015,Neuquén,48.14,35.32,1.04,12.66,2.84
2015,Río Negro,67.44,26.77,0.92,3.48,1.39
2015,Salta,78.05,21.18,0.05,0.13,0.59
2015,San Juan,93.55,0.87,1.47,2.32,1.79
2015,San Luis,86.42,7.75,2.67,0.23,2.92
2015,Santa Cruz,59.68,10.32,1.5,19.2,9.29
2015,Santa Fe,60.82,37.54,0.58,0.8,0.26
2015,Santiago Del Estero,86.0,11.11,0.05,2.77,0.08
2015,Tierra Del Fuego,69.0,21.6,2.03,0.0,7.37
2015,Tucumán,99.22,0.59,0.08,0.06,0.04
2016,Buenos Aires,51.57,43.2,3.74,0.68,0.82
2016,Capital Federal,32.28,64.01,2.67,0.18,0.85
