Provincia,ID,Country
Buenos Aires,001,Argentina
Capital Federal,002,Argentina
Catamarca,003,Argentina
Chaco,004,Argentina
Chubut,005,Argentina
Córdoba,006,Argentina
Corrientes,007,Argentina
Entre Ríos,008,Argentina
Formosa,009,Argentina
Jujuy,010,Argentina
La Pampa,011,Argentina
La Rioja,012,Argentina
Mendoza,013,Argentina
Misiones,014,Argentina
Neuquén,015,Argentina
Río Negro,016,Argentina
Salta,017,Argentina
San Juan,018,Argentina
San Luis,019,Argentina
Santa Cruz,020,Argentina
Santa Fe,021,Argentina
Santiago Del Estero,022,Argentina
Tierra Del Fuego,023,Argentina
Tucumán,024,Argentina
